episode,step,return
0,71,30.689651
0,82,28.485299
1,19,29.797598
1,42,36.382123
2,47,34.150271
2,113,28.12877
3,34,30.936916
3,303,18.961032
4,29,33.269883
4,63,35.451127
5,21,33.439459
5,98,34.855477
6,62,31.312671
6,52,30.430726
7,47,30.717216
7,27,32.349378
8,291,24.446698
8,48,33.767969
9,28,33.017755
9,110,32.815158
10,211,26.782526
10,43,32.891144
11,36,31.336944
11,53,33.097823
12,118,31.723399
12,315,16.507384
13,33,30.604281
13,58,32.301111
14,51,33.041975
14,318,13.195124
15,36,33.36119
15,129,31.129248
16,48,30.95057
16,164,30.514008
17,163,25.224141
18,31,33.422371
19,29,31.342626
20,28,31.880237
21,33,31.788762
22,46,31.570689
23,331,18.078267
24,31,30.434693
25,25,33.276186
26,48,32.33095
27,66,32.424304
28,35,31.863309
29,40,30.068585
30,341,18.090624
31,65,32.384948
32,301,20.844124
33,25,28.711598
34,99,30.748355
35,29,32.509457
36,26,31.505253
37,51,32.064172
38,36,33.226722
39,31,32.614125
40,38,31.18523
41,356,18.142113
42,45,30.765254
43,193,26.088133
44,42,34.431652
45,31,31.153576
46,42,32.873803
47,30,33.989119
48,31,33.233106
49,24,31.195276
50,82,31.468359
51,24,31.874111
52,78,32.183105
53,199,28.335534
54,53,32.898205
55,111,29.051705
56,71,27.319713
57,32,33.857732
58,39,34.30847
59,47,31.797555
60,383,14.840491
61,384,19.605327
62,35,32.7212
63,91,30.954001
64,35,33.139649
65,43,33.494997
66,95,31.26366
67,71,29.903296
68,36,33.711643
69,37,34.519681
70,40,34.677517
71,28,34.241725
72,48,32.064086
73,46,33.347705
74,32,33.169048
75,63,34.623178
76,60,32.357564
77,406,18.622475
78,29,31.509037
79,37,32.817979
80,168,28.35025
81,37,33.091941
82,44,33.190259
83,65,28.995114
84,29,33.450306
85,141,29.950411
86,34,34.699441
87,41,32.707217
88,32,33.540866
89,37,27.790398
90,425,16.130365
91,34,34.749063
92,65,27.995772
93,85,30.378247
94,53,33.945266
95,57,33.361769
96,42,35.381209
97,40,32.729408
98,167,29.502027
99,45,33.042954
100,207,28.01112
101,60,33.346098
102,62,31.132056
103,38,35.64296
104,36,34.152158
105,446,17.124365
106,38,34.84463
107,34,33.766341
108,185,31.64512
109,36,35.726976
110,158,30.736675
111,60,34.895937
112,33,34.834039
113,281,22.865557
114,174,27.028112
115,52,34.032695
116,43,34.887228
117,53,32.266604
118,47,35.182939
119,46,35.018401
120,41,32.523702
121,96,31.896816
122,53,35.910126
123,164,29.995017
124,54,34.809819
125,77,35.300526
126,38,33.27709
127,44,33.313608
128,45,35.495249
129,43,35.65912
130,146,32.112058
131,66,36.337299
132,51,33.511746
133,485,15.235002
134,39,36.486155
135,488,15.71565
136,65,33.099228
137,31,34.125247
138,66,32.358872
139,78,32.197786
140,46,33.484984
141,57,35.060974
142,40,35.973751
143,36,37.367417
144,50,36.430973
145,40,36.321689
146,58,35.99013
147,50,34.468143
148,85,32.352752
149,79,35.085773
150,36,35.331747
151,77,34.492445
152,46,32.615821
153,81,31.508964
154,33,34.269754
155,52,35.177472
156,44,34.254802
157,55,32.58039
158,44,36.626774
159,68,35.526336
160,90,35.543886
161,107,32.612689
162,525,17.380362
163,60,35.628757
164,60,34.726416
165,39,36.267936
166,32,37.054993
167,69,31.81728
168,185,31.732983
169,39,35.414963
170,307,26.218774
171,38,34.372717
172,38,35.225441
173,541,18.043765
174,48,37.211211
175,90,35.878123
176,80,31.599546
177,65,36.390234
178,39,36.475258
179,41,35.45951
180,32,36.916517
181,43,34.340626
182,47,37.701211
183,94,34.523631
184,173,33.255075
185,43,36.521463
186,47,36.545369
187,76,34.920487
188,36,37.236609
189,43,37.1059
190,47,34.752235
191,48,35.365315
192,66,33.811682
193,249,31.460265
194,44,35.035645
195,158,30.952997
196,74,36.235638
197,574,8.429321
198,66,36.793304
199,49,34.921328
200,129,33.480129
201,31,35.378634
202,46,37.088681
203,62,33.588182
204,49,37.77261
205,38,36.371271
206,48,38.733808
207,125,29.682036
208,116,32.069736
209,52,37.37207
210,131,31.359875
211,55,34.790219
212,38,37.075212
213,51,36.903815
214,52,38.326032
215,41,36.038388
216,48,37.46678
217,109,35.485459
218,44,36.150626
219,44,38.256924
220,40,37.087538
221,115,34.253865
222,49,37.18649
223,82,33.363075
224,46,39.860246
225,42,36.106196
226,43,36.363304
227,43,37.37979
228,54,35.874377
229,56,35.591702
230,48,37.488486
231,622,10.54404
232,68,35.974657
233,48,37.274062
234,47,31.195264
235,40,36.264097
236,94,35.310832
237,80,38.552104
238,632,5.306865
239,61,38.484324
240,635,11.153625
241,42,37.269202
242,76,33.098138
243,51,36.745611
244,42,38.918232
245,39,36.497163
246,40,35.969864
247,42,37.670082
248,55,37.110188
249,45,38.578952
250,49,37.492518
251,51,37.540248
252,123,33.750587
253,42,37.612575
254,59,37.258227
255,80,37.66491
256,44,39.168496
257,65,36.5527
258,49,37.918995
259,57,38.716505
260,44,39.436595
261,79,37.221356
262,45,38.293898
263,67,38.538956
264,59,35.741991
265,46,38.654884
266,37,36.002172
267,40,35.696129
268,55,36.763567
269,44,37.221624
270,39,38.08731
271,49,37.091643
272,54,36.853823
273,130,31.048553
274,48,38.750414
275,210,29.883853
276,236,30.069319
277,66,36.110935
278,52,36.210974
279,58,36.592228
280,52,37.856429
281,95,36.696702
282,52,35.457409
283,49,37.940665
284,67,39.254686
285,52,38.791531
286,82,34.226277
287,82,33.878815
288,74,35.959816
289,46,37.621981
290,48,35.355038
291,62,40.735212
292,61,39.745941
293,109,38.196534
294,54,36.458131
295,65,35.144663
296,61,35.489204
297,52,39.935883
298,58,39.281957
299,232,32.10519
300,49,37.520604
301,64,39.971803
302,58,38.519111
303,82,35.346435
304,73,35.033301
305,90,38.095347
306,94,33.005735
307,728,9.975722
308,80,36.785438
309,55,34.440616
310,62,38.739039
311,54,39.114925
312,58,40.149817
313,42,36.737508
314,40,39.162358
315,49,36.42888
316,64,39.170283
317,61,39.003456
318,101,37.917153
319,59,37.679279
320,71,38.560022
321,53,36.595511
322,57,40.531918
323,104,34.899286
324,48,40.125676
325,79,38.675363
326,49,39.739502
327,101,38.49268
328,61,38.39879
329,92,37.331326
330,77,38.054578
331,46,39.41655
332,48,37.983338
333,112,36.957511
334,64,37.921496
335,56,37.849266
336,96,40.467246
337,74,39.036181
338,62,38.083718
339,210,33.704796
340,53,41.037664
341,56,38.105179
342,59,39.049006
343,74,37.853723
344,49,39.31673
345,48,37.484347
346,112,37.185007
347,98,37.242136
348,68,40.510608
349,56,39.286068
350,56,37.640636
351,53,38.555502
352,75,36.937788
353,85,35.008928
354,63,36.807454
355,57,37.412647
356,463,20.969462
357,62,38.735619
358,800,11.563588
359,67,39.846395
360,83,37.742786
361,53,39.538824
362,58,38.147118
363,67,37.351623
364,91,37.666177
365,91,37.189219
366,67,40.10115
367,61,41.326284
368,50,37.389702
369,65,37.548479
370,74,35.709491
371,56,37.16531
372,59,40.63379
373,68,41.229003
374,60,39.874895
375,73,41.387352
376,74,38.007416
377,51,37.109177
378,75,40.45593
379,177,32.936846
380,831,7.694034
381,118,37.216309
382,57,39.14358
383,70,40.057319
384,89,40.056134
385,78,35.030352
386,61,40.446269
387,74,37.984617
388,93,35.295702
389,147,38.914287
390,55,39.404579
391,647,9.926409
392,80,38.292179
393,87,38.903962
394,52,38.704544
395,62,40.387961
396,68,35.337747
397,59,41.690703
398,76,39.923898
399,66,38.485723
400,63,37.615497
401,440,27.733223
402,137,34.66524
403,88,35.389722
404,251,30.829047
405,70,41.280958
406,73,40.88356
407,71,41.57462
408,96,37.181373
409,65,39.778296
410,873,9.579634
411,58,40.001692
412,58,38.485836
413,62,37.077599
414,73,40.064677
415,83,40.821391
416,51,39.679039
417,72,40.881477
418,72,39.817535
419,63,41.524913
420,54,38.057026
421,61,36.787342
422,122,37.063984
423,78,41.466988
424,90,36.939896
425,72,37.752226
426,65,38.881582
427,66,40.656421
428,154,37.158571
429,67,34.829447
430,70,39.189666
431,902,5.076157
432,228,35.289581
433,71,39.184719
434,74,37.312621
435,68,43.526475
436,65,39.346245
437,68,39.845613
438,63,39.878263
439,142,36.523548
440,66,38.930501
441,61,35.671814
442,69,41.328872
443,84,40.81334
444,68,41.183232
445,67,41.170614
446,87,38.750297
447,65,39.833479
448,60,39.961189
449,111,40.035568
450,66,39.118323
451,87,38.238025
452,99,37.985984
453,73,40.508836
454,59,40.892746
455,257,33.216463
456,56,40.279877
457,90,39.44839
458,151,36.784869
459,64,40.004305
460,76,42.3214
461,54,38.19474
462,122,39.314813
463,87,40.030839
464,63,41.08958
465,101,37.127611
466,69,40.978299
467,73,41.544304
468,64,42.378397
469,101,38.369789
470,83,42.165806
471,76,42.42408
472,68,40.62285
473,52,37.03857
474,962,10.796972
475,63,40.101727
476,66,41.859199
477,114,33.651732
478,68,40.993663
479,60,42.147554
480,62,40.291856
481,67,39.912833
482,66,40.640307
483,74,39.232793
484,68,41.197112
485,153,38.078556
486,92,41.301732
487,72,40.868959
488,85,41.156495
489,72,39.787471
490,63,40.661324
491,58,40.899427
492,223,33.198697
493,78,40.391727
494,68,38.684103
495,79,43.951289
496,58,40.317561
497,53,38.608202
498,79,42.68434
499,102,41.615841
500,70,41.686159
501,89,41.46831
502,55,38.740026
503,78,43.636465
504,68,41.02356
505,999,4.986947
506,999,0.28845
507,88,39.59497
508,122,39.134343
509,85,40.792233
510,58,42.352634
511,72,41.588516
512,63,40.839928
513,74,39.897895
514,99,42.302247
515,83,40.348053
516,65,41.550197
517,64,41.608686
518,95,41.125641
519,58,40.201683
520,57,39.697668
521,69,41.869124
522,74,41.184367
523,188,36.104314
524,84,40.007386
525,93,40.956574
526,82,41.051306
527,73,41.247187
528,82,40.228295
529,72,40.208078
530,78,41.491468
531,75,40.574587
532,75,42.402951
533,73,40.664718
534,96,39.535883
535,77,42.388266
536,65,42.497836
537,72,41.293457
538,65,41.081905
539,79,41.458298
540,75,43.082001
541,80,42.496069
542,105,39.861302
543,58,40.947441
544,69,41.296344
545,129,37.990848
